date, event_name
Jan 01,New Year's Day
Jan 14,Makar Sankranti / Pongal
Jan 26,Republic Day
Mar 04,Maha Shivaratri
Mar 21,Holi
Apr 06,Ugadi / Gudi Padwa
Apr 13,Ram Navami
Apr 17,Mahavir Jayanti
Apr 19,Good Friday
May 01,Labor Day
May 18,Budhha Purnima
Jun 05,Eid-ul-Fitar
Jul 04,Rath Yatra
Aug 12,Bakri Id / Eid ul-Adha
Aug 15,Raksha Bandhan
Aug 15,Independence Day
Aug 24,Janmashtami
Sep 02,Vinayaka Chaturthi
Sep 10,Muharram
Sep 11,Onam
Oct 02,Mathatma Gandhi Jayanti
Oct 08,Dussehra / Dasara
Oct 27,Diwali / Deepavali
Nov 10,Milad un Nabi
Nov 12,Guru Nanak's Birthday
Dec 25,Christmas
