Event,Day,Date
New Year's Day ,Friday,"January 1, 2016"
Makar Sankranti ,Thursday,"January 14, 2016"
Pongal ,Friday,"January 15, 2016"
Guru Govind Singh’s Birthday ,Saturday,"January 16, 2016"
Republic Day ,Tuesday,"January 26, 2016"
Basant Panchami/Sri Panchami ,Friday,"February 12, 2016"
Shivaji Jayanti ,Friday,"February 19, 2016"
Guru Ravidas’s Birthday ,Monday,"February 22, 2016"
Swami Dayananda Saraswati Jayanti ,Friday,"March 4, 2016"
Maha Shivaratri ,Monday,"March 7, 2016"
"Holika Dahan, Dolyatra ",Wednesday,"March 23, 2016"
Holi ,Thursday,"March 24, 2016"
Good Friday ,Friday,"March 25, 2016"
Easter Sunday ,Sunday,"March 27, 2016"
Chaitra Sukladi/Gudi Padava/ Ugadi/ Cheti Chand ,Friday,"April 8, 2016"
Vaisakhi/Vishu ,Wednesday,"April 13, 2016"
"Masadi/Vaisakhadi,Bahag Bihu ",Thursday,"April 14, 2016"
Ram Navami ,Friday,"April 15, 2016"
Mahavir Jayanti ,Wednesday,"April 20, 2016"
Hazarat Ali's Birthday ,Thursday,"April 20, 2016"
Guru Rabindranath's Birthday ,Sunday,"May 8, 2016"
Buddha Purnima ,Saturday,"May 21, 2016"
Jamat-Ul--Vida ,Friday,"July 1, 2016"
Idu'l Fitr ,Wednesday,"July 6, 2016"
Independence Day ,Monday,"August 15, 2016"
Parsi New Year's day / Nauraj ,Wednesday,"August 17, 2016"
Raksha Bandhan ,Thursday,"August 18, 2016"
Janmashtami ,Thursday,"August 25, 2016"
Ganesh Chaturthi / Vinayaka Chaturthi ,Monday,"September 5, 2016"
Id-ul-Zuha ,Monday,"September 12, 2016"
Onam ,Wednesday,"September 14, 2016"
Mahatma Gandhi's Birthday ,Sunday,"October 2, 2016"
Dussehra ,Saturday,"October 8, 2016"
Dussehra ,Sunday,"October 9, 2016"
Dussehra ,Monday,"October 10, 2016"
Dussehra ,Tuesday,"October 11, 2016"
Muharram ,Wednesday,"October 12, 2016"
Maharishi Valmiki's Birthday ,Sunday,"October 16, 2016"
Karaka Chaturthi ,Wednesday,"October 19, 2016"
Deepavali ,Saturday,"October 29, 2016"
Diwali ,Sunday,"October 30, 2016"
Govardhan Puja ,Monday,"October 31, 2016"
Bhai Duj ,Tuesday,"November 1, 2016"
Pratihar Sashthi or Surya Sashthi ,Sunday,"November 6, 2016"
Guru Nanak's Birthday ,Monday,"November 14, 2016"
Guru Teg Bahadur's Martyrdom Day ,Thursday,"November 24, 2016"
Milad-Un-Nabi or Id-E- Milad ,Tuesday,"December 13, 2016"
Christmas Eve ,Saturday,"December 24, 2016"
Christmas ,Sunday,"December 25, 2016"
