Holiday,Day,Date
Bhogi (First Day of Pongal),Monday,"January 14, 2019"
Makar Sankranti,Tuesday,"January 15, 2019"
Kanuma,Wednesday,"January 16, 2019"
Mukkanuma,Thursday,"January 17, 2019"
Republic Day,Saturday,"January 26, 2019"
Ratha Saptami,Tuesday,"February 12, 2019"
Jaya Ekadashi,Saturday,"February 16, 2019"
Bhishma Dwadashi,Saturday,"February 16, 2019"
Vijaya Ekadashi,Saturday,"March 2, 2019"
Maha Shivaratri,Monday,"March 4, 2019"
Amalaki Ekadashi,Sunday,"March 17, 2019"
Papmochani Ekadashi,Sunday,"March 31, 2019"
Babu Jagjivan Ram Birthday,Friday,"April 5, 2019"
Ugadi / Telugu New Year,Saturday,"April 6, 2019"
Sri Rama Navami,Sunday,"April 14, 2019"
Kamada Ekadashi,Monday,"April 15, 2019"
Good Friday,Friday,"April 19, 2019"
Hanuman Jayanti,Friday,"April 19, 2019"
Varuthini Ekadashi,Tuesday,"April 30, 2019"
Akshaya Tritiya,Tuesday,"May 7, 2019"
Mohini Ekadashi,Wednesday,"May 15, 2019"
Apara Ekadashi,Thursday,"May 30, 2019"
Vat Savitri Puja,Monday,"June 3, 2019"
Nirjala Ekadashi,Thursday,"June 13, 2019"
Yogini Ekadashi,Saturday,"June 29, 2019"
Puri Rath Yatra,Thursday,"July 4, 2019"
Guru Purnima,Tuesday,"July 16, 2019"
Kamika Ekadashi,Sunday,"July 28, 2019"
Nag Panchami,Monday,"August 5, 2019"
Varalakshmi Vratam,Friday,"August 9, 2019"
Shravana Putrada Ekadashi,Sunday,"August 11, 2019"
Raksha Bandhan,Thursday,"August 15, 2019"
Krishna Janmashtami,Saturday,"August 24, 2019"
Ganesh Chaturthi,Monday,"September 2, 2019"
Parivartani Ekadashi,Monday,"September 9, 2019"
Pitru Paksha,Friday,"September 13, 2019"
Vishwakarma Puja,Tuesday,"September 17, 2019"
Indira Ekadashi,Wednesday,"September 25, 2019"
Navratri Begins,Sunday,"September 29, 2019"
Maha Navami (Navratri ends),Monday,"October 7, 2019"
Dussehra / Dasara,Tuesday,"October 8, 2019"
Papankusha Ekadashi,Wednesday,"October 9, 2019"
Karwa Chauth,Thursday,"October 17, 2019"
Rama Ekadashi,Thursday,"October 24, 2019"
Dhanteras,Friday,"October 25, 2019"
Deepothsavam / Deepavali,Sunday,"October 27, 2019"
Govardhan Puja,Monday,"October 28, 2019"
Bhai Dooj,Tuesday,"October 29, 2019"
Nagula Chavithi,Thursday,"October 31, 2019"
Utpanna Ekadashi,Friday,"November 22, 2019"
Mokshada Ekadashi,Sunday,"December 8, 2019"
Margashirsha Purnima,Sunday,"December 22, 2019"
